COUNTRY,STATE_NAME,STATE_CODE
India,ANDAMAN AND NICOBAR ISLANDS,ANI
India,ANDHRA PRADESH,AP
India,ARUNACHAL PRADESH,ARP
India,ASSAM,AS
India,BIHAR,BH
India,CHANDIGARH,CHA
India,CHHATTISGARH,CHHA
India,DADRA AND NAGAR HAVELI,DNH
India,DAMAN AND DIU,DAD
India,DELHI,DD
India,GOA,GOA
India,GUJARAT,GJ
India,HARYANA,HAR
India,HIMACHAL PRADESH,HIM
India,JAMMU AND KASHMIR,JAK
India,JHARKHAND,JHA
India,KARNATAKA,KAR
India,KERALA,KER
India,LAKSHADWEEP,LAK
India,MADHYA PRADESH,MP
India,MAHARASTRA,MAH
India,MANIPUR,MAN
India,MEGHALAYA,MEG
India,MIZORAM,MIZ
India,NAGALAND,NAG
India,ORISSA,ORS
India,PONDICHERRY,PON
India,PUNJAB,PUN
India,RAJASTHAN,RAJ
India,SIKKIM,SIKK
India,TAMILNADU,TAM
India,TRIPURA,TRI
India,UTTARANCHAL,UTT
India,UTTAR PRADESH,UTP
India,WEST BENGAL,WB
United States,USA,USA
Greece,ATHENS,ATH
Netherlands,NETHERLANDS,NTH
United Kingdom,U.K.,UK
