JOBYEAR,JOBSERIES,JOBNO,JOBDATE,DEPTYPE,DEPTCODE,INDENTOR,MACHTYPE,MACHCODE,SUPPCODE,APRVINDENTOR,DAYS,FROMDATE,TODATE,RETIND,EQUIPTYPE,EQUIPCODE,SPECIFICATION,WORKDESCRIPTION,ENGREMARK,ITEMCODE,ITEMSRNO,PROBLEM,ACTIONTAKEN,ROOTCAUSE,ISUQTY,STKRATE,ISUVALUE,LABHOURS,LABCOST,TOTCOST,REMARK,STATUS,ACTION,EXTFROMDATE,EXTTODATE,EXTFROMDATE1,EXTTODATE1,BILLNO,BILLDATE,
20112012,MS,1,00:00.0,D,8,122, , ,302L074, ,30,00:00.0,00:00.0,Y, , , , , ,19281064,1,SCREEN REPAIRING WORK / CARPENTOR WORK AS PER REQUIREMENT / GASKET CUTTING, , ,30,339,10170,0,0,10170,WORKING TIME : 08:00 A.M. TO 08:00 P.M., ,ADD,NULL,NULL,NULL,NULL, ,NULL,
20112012,MS,2,00:00.0,D,8,122, , ,302K230, ,30,00:00.0,00:00.0,Y, , , , , ,19281064,1,WELDING AND GAS CUTTING WORKS AS PER PLANT REQUIREMENT AND AS PER ENGINEERS, , ,30,390,11700,0,0,11700,WORKING TIME : 08:00 A.M. TO 08:00 P.M. ONE PERSON, ,ADD,NULL,NULL,NULL,NULL, ,NULL,
20112012,MS,3,00:00.0,D,8,122, , ,302V194, ,30,00:00.0,00:00.0,Y, , , , , ,19281064,1,WELDING AND GAS CUTTING AS PER PLANT REQUIREMENT AND AS PER ENGINEERS INSTRUCTION, , ,30,390,11700,0,0,11700,WORKING TIME : 08:00 P.M. TO 08:00 A.M. ONLY ONE PERSON, ,ADD,NULL,NULL,NULL,NULL, ,NULL,
20112012,MS,4,00:00.0,D,2,122, , ,302S809, ,30,00:00.0,00:00.0,Y, , , , , ,19281064,1,STEEP VAT SECTION AND BUHLER SECTION GENERAL MAINTENANCE WORK TO DO, , ,1,31500,31500,0,0,31500, , ,ADD,NULL,NULL,NULL,NULL, ,NULL,
20112012,MS,5,00:00.0,D,407,116, , ,302V193, ,30,00:00.0,00:00.0,Y, , , , , ,19281064,1,"REMOVAL OF SCALING FROM ALL REACTORS & LEADING , LIFTING & DUMPING IT AT DUMPSITE", , ,60,205,12300,0,0,12300,WORKING OF TWO PERSON TIME : 08:00 AM TO 05:00 PM, ,ADD,NULL,NULL,NULL,NULL, ,NULL,
20112012,MS,5,00:00.0,D,407,116, , ,302V193, ,30,00:00.0,00:00.0,Y, , , , , ,19281064,2,"OPERATION OF NEW REACTOR -3, ONE LABOUR/SHIFT AND ONE IS IN GENERAL SHIFT", , ,130,205,26650,0,0,26650,WORKING OF 5PERSON TIME : SHIFT TIME, ,ADD,NULL,NULL,NULL,NULL, ,NULL,
20112012,MS,6,00:00.0,D,509,150, , ,302A470, ,30,00:00.0,00:00.0,Y, , , , , ,19281064,1,SKILLED/MULTI SKILLED LABOURS, , ,300,220,66000,0,0,66000,30 DAYS X 10 PERSON, ,ADD,NULL,NULL,NULL,NULL, ,NULL,
20112012,MS,6,00:00.0,D,509,150, , ,302A470, ,30,00:00.0,00:00.0,Y, , , , , ,19281064,2,SEMI SKILLED LABOURS, , ,120,210,25200,0,0,25200,30 DAYS X 4 PERSON, ,ADD,NULL,NULL,NULL,NULL, ,NULL,
20112012,MS,6,00:00.0,D,509,150, , ,302A470, ,30,00:00.0,00:00.0,Y, , , , , ,19281064,3,UNSKILLED LABOURS, , ,360,208,74880,0,0,74880,30 DAYS X 12 PERSON, ,ADD,NULL,NULL,NULL,NULL, ,NULL,
20112012,MS,7,00:00.0,D,601,150, , ,302V193, ,30,00:00.0,00:00.0,Y, , , , , ,19281064,1,FOR 1 MTON JUMBO BAG PACKING FOR EXPORT TO SEAVE THE BAG THROUGH VIBRO AND FILLING, , ,240,205,49200,0,0,49200,THE JUMBO BAG WORKING : 30 DAYS X 8 PERSON, ,ADD,NULL,NULL,NULL,NULL, ,NULL,
