INDENTOR,INDYEAR,INDENTNO,INDDATE,DEPTYPE,DEPTCODE,ITEMTYPE,ITEMFOR,ITEMREQ,REMARK1,REMARK2,REQDATE,STATUS,APRVID,USERID,ACTION,INDTYPE,PRTFLG,MACHTYPE,MACHCODE,MACHDESCR
122,20122013,5010,31/03/12,D,8,C,S,U,Plant General Use., ,03/04/12, ,Y,STORE,ADD,New,P, , , 
122,20122013,5011,31/03/12,D,8,C,S,O,Plant General Use., ,07/04/12,E,Y,STORE,ADD,New,P, , , 
122,20122013,5806,01/03/13,D,4,C,S,O,,,08/03/13,E,Y,STORE,ADD,New,P,,,
160,20122013,5807,02/03/13,D,3,C,C,U,,,05/03/13,E,Y,ANS,ADD,New,P,M,114,REWAMPING OF SO2 SCRUBBING SYSTEM(STARCH)
160,20122013,5808,02/03/13,D,3,C,C,U,,,05/03/13,E,Y,ANS,ADD,New,P,M,114,REWAMPING OF SO2 SCRUBBING SYSTEM(STARCH)
106,20122013,5809,04/03/13,D,1,C,S,O,,,11/03/13, ,Y,STORE,ADD,New,P,,,
122,20122013,5810,04/03/13,D,4,C,S,O,,,11/03/13, ,Y,STORE,ADD,New,P,,,
106,20122013,5811,04/03/13,D,4,C,S,O,,,11/03/13, ,Y,STORE,ADD,New,P,,,
122,20122013,5812,04/03/13,D,4,C,S,O,,,11/03/13,E,Y,ANS,ADD,New,P,,,
122,20122013,5813,04/03/13,D,4,C,S,O,,,11/03/13,E,Y,ANS,ADD,New,P,,,
106,20122013,5814,04/03/13,D,4,C,S,O,,,11/03/13, ,Y,ANS,ADD,New,P,,,
106,20122013,5815,04/03/13,D,4,C,S,O,,,11/03/13,E,Y,ANS,ADD,New,P,,,
122,20122013,5816,04/03/13,D,4,C,S,O,,,11/03/13,E,Y,ANS,ADD,New,P,,,
125,20122013,5817,04/03/13,D,8,C,S,U,,,07/03/13,E,Y,STORE,ADD,New,P,,,
125,20122013,5818,04/03/13,D,8,C,S,U,,,07/03/13,E,Y,STORE,ADD,New,P,,,
106,20122013,5819,04/03/13,D,4,C,S,U,,,07/03/13, ,Y,STORE,ADD,New,P,,,
122,20122013,5820,05/03/13,D,4,C,S,O,,,12/03/13, ,Y,AAM,ADD,New,P,,,
122,20122013,5821,05/03/13,D,8,C,S,U,For Strach Shifter.,,08/03/13,E,Y,STORE,ADD,New,P,,,
160,20122013,5822,05/03/13,D,7,C,S,U,,,08/03/13,E,Y,ANS,ADD,New,P,,,
106,20122013,5823,05/03/13,D,3,C,C,U,,,08/03/13,E,Y,ANS,ADD,New,P,M,114,REWAMPING OF SO2 SCRUBBING SYSTEM(STARCH)
106,20122013,5824,05/03/13,D,3,C,C,U,,,08/03/13,E,Y,ANS,ADD,New,P,M,114,REWAMPING OF SO2 SCRUBBING SYSTEM(STARCH)
160,20122013,5825,07/03/13,D,4,C,S,O,,,14/03/13, ,Y,STORE,ADD,New,P,,,
122,20122013,5826,07/03/13,D,8,C,S,U,For Filter Machine 1+ACY- 2.,For Chemical F/Mc.,10/03/13,E,Y,STORE,ADD,Repair,P,,,
125,20122013,5827,07/03/13,D,8,C,S,O,,,08/03/13,E,Y,STORE,ADD,New,P,,,
121,20122013,5828,07/03/13,D,8,C,S,U,rubber coated roller 85mm dia,rubber coated roller 90mm dia,10/03/13,E,Y,STORE,ADD,New,P,,,
125,20122013,5829,08/03/13,D,8,C,S,U,,,11/03/13,E,Y,STORE,ADD,New,P,,,
122,20122013,5830,09/03/13,D,4,C,S,O,,,16/03/13, ,Y,ANP,ADD,New,P,,,
122,20122013,5831,09/03/13,D,4,C,S,O,,,10/03/13,E,Y,ANP,ADD,New,P,,,
122,20122013,5832,09/03/13,D,4,C,S,O,,,16/03/13,E,Y,STORE,ADD,New,P,,,
160,20122013,5833,11/03/13,D,7,C,S,U,,,14/03/13,E,Y,STORE,ADD,New,P,,,
106,20122013,5834,12/03/13,D,4,C,S,O,MINI +AC0- MAX ITEM,,19/03/13,E,Y,STORE,UPD,New,P,,,
125,20122013,5835,12/03/13,D,8,C,S,U,,,15/03/13,E,Y,STORE,ADD,New,P,,,
125,20122013,5836,12/03/13,D,8,C,S,U,,,15/03/13,E,Y,STORE,ADD,New,P,,,
106,20122013,5837,12/03/13,D,3,C,C,U,,,15/03/13,E,Y,ANS,ADD,New,P,M,114,REWAMPING OF SO2 SCRUBBING SYSTEM(STARCH)
106,20122013,5838,12/03/13,D,8,C,S,O,,,19/03/13, ,Y,STORE,ADD,New,P,,,
106,20122013,5839,12/03/13,D,8,C,S,C,,,12/03/13,E,Y,STORE,ADD,New,P,,,
125,20122013,5840,13/03/13,D,8,C,S,U,req.double roller brg.,,16/03/13,E,Y,STORE,ADD,New,P,,,
106,20122013,5841,13/03/13,D,8,C,S,C,,,13/03/13,E,Y,ANS,UPD,New,P,,,
160,20122013,5842,14/03/13,D,4,C,S,U,FOR FG2 MOTOR,,17/03/13, ,Y,ANS,ADD,New,P,,,
160,20122013,5843,15/03/13,D,4,C,S,O,,,22/03/13,E,Y,STORE,ADD,New,P,,,
122,20122013,5844,15/03/13,D,8,C,S,U,fpr plant use,,18/03/13,E,Y,AAM,ADD,New,P,,,
170,20122013,5845,15/03/13,D,7,C,S,U,for sadex,,18/03/13,E,Y,ANS,UPD,New,P,,,
160,20122013,5846,15/03/13,D,4,C,S,U,,,18/03/13,E,Y,STORE,ADD,New,P,,,
160,20122013,5847,15/03/13,D,4,C,S,O,,,22/03/13, ,Y,STORE,ADD,New,P,,,
160,20122013,5848,15/03/13,D,4,C,S,O,,,22/03/13, ,Y,STORE,ADD,New,P,,,
106,20122013,5849,16/03/13,D,4,C,S,O,,,23/03/13, ,Y,STORE,ADD,New,P,,,
106,20122013,5850,16/03/13,D,4,C,S,O,,,23/03/13,,Y,STORE,ADD,Repair,P,,,
106,20122013,5851,16/03/13,D,4,C,S,O,,,23/03/13,E,Y,STORE,ADD,New,P,,,
121,20122013,5852,18/03/13,D,3,C,S,U,,,21/03/13,E,Y,STORE,ADD,New,P,,,
122,20122013,5853,18/03/13,D,4,C,S,O,,,25/03/13,E,Y,AAM,ADD,New,P,,,
160,20122013,5854,19/03/13,D,7,C,S,U,,,22/03/13, ,Y,STORE,ADD,Repair,P,,,
160,20122013,5855,19/03/13,D,8,C,S,U,,,22/03/13,E,Y,STORE,ADD,Repair,P,,,
160,20122013,5856,19/03/13,D,8,C,S,U,,,22/03/13,E,Y,STORE,ADD,Repair,P,,,
106,20122013,5857,19/03/13,D,4,C,S,O,,,26/03/13, ,Y,PMJ,ADD,New,P,,,
106,20122013,5858,19/03/13,D,4,C,S,O,,,26/03/13,E,Y,PMJ,ADD,New,P,,,
121,20122013,5859,19/03/13,D,4,C,S,O,,MIN +AC0- MAX ITEM,26/03/13, ,Y,STORE,ADD,New,P,,,
125,20122013,5860,20/03/13,D,8,C,S,U,,,23/03/13,E,Y,STORE,ADD,New,P,,,
122,20122013,5861,20/03/13,D,7,C,S,U,,,23/03/13,E,Y,STORE,ADD,New,P,,,
106,20122013,5862,20/03/13,D,7,C,S,O,,mini +AC0- max item,27/03/13,E,Y,STORE,ADD,New, ,,,
122,20122013,5863,22/03/13,D,2,C,S,C,,,22/03/13,E,Y,STORE,ADD,New,P,,,
122,20122013,5864,22/03/13,D,4,C,S,U,,,25/03/13,E,Y,AAM,ADD,New,P,,,
160,20122013,5865,22/03/13,D,8,C,S,O,,,29/03/13, ,Y,STORE,ADD,New,P,,,
122,20122013,5866,23/03/13,D,4,C,S,O,,,30/03/13,,Y,AAM,ADD,New,P,,,
122,20122013,5867,23/03/13,D,4,C,S,O,,,30/03/13,E,Y,STORE,UPD,New,P,,,
122,20122013,5868,23/03/13,D,4,C,S,O,,,24/03/13, ,Y,AAM,ADD,Repair,P,,,
170,20122013,5869,23/03/13,D,4,C,S,U,FOR DOROCLONE U/F O/F FEED,,26/03/13, ,Y,ASK,ADD,New, ,,,
170,20122013,5870,23/03/13,D,4,C,S,U,FOR DORROCLONE,,26/03/13,E,Y,ASK,ADD,New,P,,,
105,20122013,5871,23/03/13,D,4,C,S,C,,,23/03/13, ,Y,STORE,UPD,New,P,,,
106,20122013,5872,25/03/13,D,4,C,C,O,,,01/04/13, ,Y,ANS,ADD,New,P,M,120,MAIZE BUNKER EXTENSION +ACY- DEWATERING VIBRATOR
105,20122013,5873,25/03/13,D,4,C,S,C,,,25/03/13,E,Y,STORE,UPD,New,P,,,
160,20122013,5874,25/03/13,D,8,C,S,U,,,28/03/13, ,Y,ANS,ADD,New,P,,,
160,20122013,5875,25/03/13,D,1,C,S,U,,,28/03/13,E,Y,STORE,ADD,New,P,,,
160,20122013,5876,25/03/13,D,8,C,S,O,,,26/03/13,E,Y,STORE,ADD,New,P,,,
106,20122013,5877,26/03/13,D,7,C,S,O,grinding work as per ,engineer inst.,02/04/13, ,Y,STORE,ADD,Repair,P,,,
106,20122013,5878,26/03/13,D,4,C,C,O,,,02/04/13,E,Y,ANS,ADD,New,P,M,120,MAIZE BUNKER EXTENSION +ACY- DEWATERING VIBRATOR
106,20122013,5879,26/03/13,D,4,C,C,O,,,02/04/13,E,Y,ANS,ADD,New,P,M,120,MAIZE BUNKER EXTENSION +ACY- DEWATERING VIBRATOR
122,20122013,5880,26/03/13,D,4,C,S,O,,,02/04/13,E,Y,ANS,ADD,New,P,,,
122,20122013,5881,28/03/13,D,4,C,S,O,,,04/04/13,E,Y,STORE,UPD,New,P,,,
125,20122013,5882,28/03/13,D,8,C,S,U,special purchase for 'o' lekag,o +AC0- lekage project.,31/03/13,E,Y,STORE,ADD,New,P,,,
106,20122013,5883,28/03/13,D,4,C,C,O,,,04/04/13,E,Y,ANS,ADD,New,P,M,120,MAIZE BUNKER EXTENSION +ACY- DEWATERING VIBRATOR
106,20122013,5884,28/03/13,D,4,C,C,O,,,04/04/13,E,Y,ANS,ADD,New,P,M,120,MAIZE BUNKER EXTENSION +ACY- DEWATERING VIBRATOR
106,20122013,5885,28/03/13,D,8,C,S,U,,,31/03/13,E,Y,STORE,ADD,New,P,,,
106,20122013,5886,28/03/13,D,8,C,S,U,,,31/03/13,E,Y,STORE,ADD,New,P,,,
121,20122013,5887,28/03/13,D,4,C,S,C,,,28/03/13,E,Y,STORE,ADD,New,P,,,
121,20122013,5888,28/03/13,D,4,C,S,C,,,28/03/13,E,Y,STORE,ADD,New,P,,,
106,20122013,5889,29/03/13,D,5,C,S,O,,,05/04/13,E,Y,ANS,ADD,New,P,,,
106,20122013,5890,29/03/13,D,8,C,S,U,for '0' leak  project.,special purchase.,01/04/13,E,Y,STORE,ADD,New,P,,,
106,20122013,5891,29/03/13,D,8,C,S,U,'o' leakage project. T /Y,special purchase.,01/04/13,E,Y,STORE,ADD,New,P,,,
122,20122013,5892,29/03/13,D,4,C,S,O,,,05/04/13, ,Y,AAM,ADD,Repair,P,,,
106,20122013,5893,30/03/13,D,8,C,S,U,,,02/04/13,,Y,STORE,ADD,New,P,,,
122,20122013,5894,30/03/13,D,4,C,S,O,,,06/04/13, ,Y,STORE,ADD,New,P,,,
122,20122013,5895,31/03/13,D,4,C,S,O,,,07/04/13,E,Y,AAM,ADD,New,P,,,
122,20122013,5896,31/03/13,D,4,C,S,O,,,07/04/13,E,Y,AAM,ADD,New,P,,,
122,20122013,5897,31/03/13,D,4,C,S,O,,,07/04/13,E,Y,STORE,UPD,New,P,,,
122,20122013,5898,31/03/13,D,8,C,S,U,For Germ Dryer 56 and 1.,,03/04/13,E,Y,STORE,ADD,New,P,,,
122,20122013,5899,31/03/13,D,4,C,S,O,,,07/04/13, ,Y,STORE,ADD,New,P,,,
126,20122013,10150,01/03/13,D,101,C,S,O,,,08/03/13,E,Y,STORE,ADD,Repair,P,,,
160,20122013,10151,02/03/13,D,113,C,S,O,,,09/03/13,E,Y,STORE,ADD,Repair,P,,,
182,20122013,10152,09/03/13,D,101,C,S,U,for sedex purpose,,12/03/13,E,Y,JYP,ADD,New,P,,,
126,20122013,10153,11/03/13,D,102,C,S,U,,,14/03/13,E,Y,STORE,ADD,New,P,,,
126,20122013,10154,11/03/13,D,102,C,S,U,,,14/03/13,E,Y,STORE,ADD,New,P,,,
121,20122013,10155,13/03/13,D,101,C,S,U,,,16/03/13,E,Y,JATIN,ADD,New,P,,,
103,20122013,10156,14/03/13,D,129,C,S,U,,,17/03/13,E,Y,STORE,ADD,New,P,,,
170,20122013,10157,15/03/13,D,101,C,S,U,for starch dryer,,18/03/13,,Y,ASK,ADD,New,P,,,
121,20122013,10158,18/03/13,D,101,C,S,O,,,25/03/13,,Y,STORE,ADD,New,P,,,
126,20122013,10159,25/03/13,D,102,C,S,O,,,01/04/13,E,Y,STORE,ADD,New,P,,,
126,20122013,10160,26/03/13,D,101,C,S,O,,,02/04/13, ,Y,STORE,ADD,New,P,,,
126,20122013,10161,29/03/13,D,102,C,S,O,,,05/04/13, ,Y,STORE,ADD,New,P,,,
127,20122013,20005,31/03/12,D,201,C,S,U, , ,03/04/12,E,Y,STORE,ADD,Repair,P, , , 
127,20122013,20022,31/03/12,D,201,C,S,U, , ,03/04/12,E,Y,STORE,ADD,Repair,P, , , 
160,20122013,20176,01/03/13,D,203,C,S,O,,,08/03/13,E,Y,STORE,ADD,New,P,,,
121,20122013,20177,02/03/13,D,203,C,S,U,,,05/03/13,E,Y,JATIN,ADD,New,P,,,
121,20122013,20178,02/03/13,D,203,C,S,U,FOR YOTANA PRESS,,05/03/13,E,Y,JATIN,ADD,New,P,,,
105,20122013,20179,04/03/13,D,203,C,C,U,,,07/03/13,E,Y,ANS,ADD,New,P,M,118,FILTER PRESS FOR GLUTEN ON RENT
160,20122013,20180,07/03/13,D,201,C,S,U,,,10/03/13,E,Y,STORE,ADD,New,P,,,
160,20122013,20181,07/03/13,D,201,C,S,U,,,10/03/13,E,Y,STORE,ADD,New,P,,,
160,20122013,20182,07/03/13,D,201,C,S,U,,,10/03/13,E,Y,STORE,ADD,New,P,,,
160,20122013,20183,08/03/13,D,201,C,S,U,,,11/03/13,E,Y,STORE,ADD,New,P,,,
106,20122013,20184,08/03/13,D,203,C,S,C,,,08/03/13,E,Y,STORE,ADD,New,P,,,
127,20122013,20185,12/03/13,D,201,C,S,U,,,15/03/13,E,Y,STORE,ADD,New,P,,,
160,20122013,20186,14/03/13,D,202,C,S,U,,,17/03/13,E,Y,STORE,ADD,New,P,,,
127,20122013,20187,16/03/13,D,201,C,S,O,,,23/03/13,E,Y,STORE,ADD,New,P,,,
127,20122013,20188,16/03/13,D,201,C,S,O,,,23/03/13,E,Y,STORE,ADD,New,P,,,
127,20122013,20189,16/03/13,D,201,C,S,O,,,23/03/13,E,Y,STORE,ADD,New,P,,,
127,20122013,20190,18/03/13,D,201,C,S,O,,,25/03/13,E,Y,STORE,ADD,New,P,,,
127,20122013,20191,18/03/13,D,201,C,S,O,,,19/03/13,E,Y,STORE,ADD,Repair,P,,,
127,20122013,20192,18/03/13,D,201,C,S,O,,,25/03/13,E,Y,STORE,ADD,Repair,P,,,
127,20122013,20193,18/03/13,D,201,C,S,O,,,25/03/13,E,Y,STORE,ADD,Repair,P,,,
105,20122013,20194,18/03/13,D,203,C,C,U,,,21/03/13,E,Y,ANS,ADD,New,P,M,118,FILTER PRESS FOR GLUTEN ON RENT
100,20122013,20195,20/03/13,D,201,C,S,O,,,27/03/13,E,Y,STORE,UPD,New,P,,,
160,20122013,20196,22/03/13,D,202,C,S,U,,,25/03/13,E,Y,STORE,ADD,New,P,,,
160,20122013,20197,22/03/13,D,202,C,S,U,NDE side repairing work,as per 6218 bearing,25/03/13,E,Y,STORE,ADD,Repair,P,,,
106,20122013,20198,22/03/13,D,201,C,C,O,,,29/03/13, ,Y,ANS,ADD,New,P,M,121,GD5+AC0-GD6 VAPOUR DUCT MODIFICATION
106,20122013,20199,22/03/13,D,201,C,C,O,,,29/03/13,E,Y,ANS,ADD,New,P,M,121,GD5+AC0-GD6 VAPOUR DUCT MODIFICATION
141,20122013,20200,25/03/13,D,204,C,S,O,,,01/04/13, ,Y,STORE,ADD,New,P,,,
122,20122013,20201,25/03/13,D,201,C,S,O,,,01/04/13,E,Y,STORE,ADD,New,P,,,
106,20122013,20202,25/03/13,D,201,C,C,O,,,01/04/13,E,Y,ANS,ADD,New,P,M,121,GD5+AC0-GD6 VAPOUR DUCT MODIFICATION
160,20122013,20203,26/03/13,D,201,C,S,U,,,29/03/13,E,Y,STORE,ADD,New,P,,,
160,20122013,20204,26/03/13,D,201,C,S,U,,,29/03/13,E,Y,STORE,ADD,New,P,,,
160,20122013,20205,26/03/13,D,201,C,S,U,,,29/03/13, ,Y,STORE,ADD,New,P,,,
160,20122013,20206,26/03/13,D,201,C,S,C,,,26/03/13, ,Y,STORE,ADD,New,P,,,
160,20122013,20207,26/03/13,D,201,C,S,O,,,02/04/13, ,Y,STORE,ADD,New,P,,,
160,20122013,20208,26/03/13,D,201,C,S,O,,,02/04/13, ,Y,STORE,ADD,New,P,,,
160,20122013,20209,26/03/13,D,201,C,S,O,,,02/04/13,E,Y,ANS,ADD,Repair,P,,,
160,20122013,20210,26/03/13,D,201,C,S,O,,,02/04/13, ,Y,ANS,UPD,New,P,,,
106,20122013,20211,29/03/13,D,201,C,S,O,,,05/04/13,E,Y,ANS,ADD,New,P,,,
127,20122013,20212,30/03/13,D,201,C,S,O,,,31/03/13, ,Y,STORE,ADD,New,P,,,
127,20122013,20213,30/03/13,D,201,C,S,O,,,31/03/13,E,Y,STORE,ADD,Repair,P,,,
122,20122013,20214,30/03/13,D,201,C,S,U,,,02/04/13,E,N,STORE,UPD,New, ,,,
127,20122013,20215,30/03/13,D,201,C,S,U,,,02/04/13,E,Y,STORE,ADD,New,P,,,
160,20122013,20216,31/03/13,D,201,C,S,C,,,31/03/13,E,Y,STORE,ADD,New,P,,,
112,20122013,30032,31/03/12,D,304,C,S,O, , ,01/04/12, ,Y,STORE,ADD,New,P, , , 
112,20122013,30033,31/03/12,D,304,C,S,O, , ,01/04/12,E,Y,STORE,ADD,New,P, , , 
160,20122013,30430,01/03/13,D,307,C,S,U,,,04/03/13, ,Y,ANS,UPD,New,P,,,
130,20122013,30431,02/03/13,D,306,C,S,O,FOR GENERAL,,09/03/13,E,Y,JPP,ADD,New,P,,,
130,20122013,30432,02/03/13,D,306,C,S,O,FOR NB+ACM-3 BOILER,,03/03/13,E,Y,JPP,ADD,New,P,,,
112,20122013,30433,04/03/13,D,304,C,S,O, RO PLANT'S DOSSING CHEMICAL.,,11/03/13,E,Y,GJB,ADD,New,P,,,
112,20122013,30434,04/03/13,D,304,C,S,O,FOR RO PLANTS.,,11/03/13,E,Y,GJB,ADD,New,P,,,
160,20122013,30435,04/03/13,D,304,C,S,O,,,11/03/13,E,Y,STORE,ADD,New,P,,,
104,20122013,30436,06/03/13,D,303,C,C,O,FOR OLD TG OIL COOLER,,13/03/13,E,Y,ADV,ADD,New,P,M,29,NB2 BOILER CONVERSION AND UPGRADATION
130,20122013,30437,09/03/13,D,306,C,S,O,FOR IR COMPRESSOR 2545,,16/03/13,E,Y,JPP,ADD,New,P,,,
130,20122013,30438,09/03/13,D,306,C,S,O,FOR IR COMPRESSOR 2545,,16/03/13,E,Y,JPP,ADD,New,P,,,
130,20122013,30439,09/03/13,D,306,C,S,O,FOR IR COMPRESSOR 15T+AC0-E+AC0-20,,16/03/13,E,Y,JPP,ADD,New,P,,,
130,20122013,30440,09/03/13,D,306,C,S,O,FOR IR COMPRESSOR 15T+AC0-E+AC0-20,,16/03/13,E,Y,JPP,ADD,New,P,,,
130,20122013,30441,10/03/13,D,306,C,S,O,FOR NB 3 BOILER FEED PUMP,,17/03/13, ,Y,JPP,ADD,Repair,P,,,
160,20122013,30442,12/03/13,D,306,C,S,U,,,15/03/13, ,Y,ANS,ADD,New,P,,,
170,20122013,30443,12/03/13,D,306,C,S,U,,,15/03/13,E,Y,ANS,ADD,New,P,,,
160,20122013,30444,12/03/13,D,306,C,S,U,,,15/03/13,E,Y,STORE,ADD,New,P,,,
130,20122013,30445,13/03/13,D,306,C,S,O,GENERAL,,20/03/13,E,Y,JPP,ADD,New,P,,,
130,20122013,30446,13/03/13,D,306,C,S,O,FOR GEAR BOX,,20/03/13,E,Y,JPP,ADD,New,P,,,
112,20122013,30447,13/03/13,D,304,C,S,O,,,20/03/13,E,Y,STORE,ADD,New,P,,,
112,20122013,30448,13/03/13,D,304,C,S,O,,,20/03/13,E,Y,STORE,ADD,New,P,,,
130,20122013,30449,14/03/13,D,306,C,S,O,FOR GENERAL,,21/03/13,E,Y,JPP,ADD,New,P,,,
130,20122013,30450,14/03/13,D,306,C,S,O,FOR GENERAL,,21/03/13,E,Y,JPP,ADD,New,P,,,
130,20122013,30451,14/03/13,D,306,C,S,O,FOR GENERAL,,21/03/13,E,Y,JPP,ADD,New,P,,,
170,20122013,30452,15/03/13,D,306,C,S,U,for NB3 control panel,,18/03/13, ,Y,ASK,ADD,New,P,,,
130,20122013,30453,15/03/13,D,306,C,S,O,FOR CVL BOILER,,22/03/13,E,Y,JPP,ADD,New,P,,,
125,20122013,30454,15/03/13,D,301,C,S,U,,,18/03/13, ,Y,STORE,ADD,New,P,,,
160,20122013,30455,15/03/13,D,307,C,S,U,,,18/03/13, ,Y,ANS,ADD,New,P,,,
104,20122013,30456,18/03/13,D,307,C,S,U,FOR COOLING TOWER,,21/03/13,E,Y,ADV,ADD,New,P,,,
130,20122013,30457,18/03/13,D,306,C,S,U,FOR COAL PLANT,,21/03/13,E,Y,JPP,ADD,New,P,,,
130,20122013,30458,18/03/13,D,306,C,S,U,FOR BLOWDOWN PIPING,,21/03/13, ,Y,JPP,ADD,New,P,,,
104,20122013,30459,19/03/13,D,308,C,C,O,,,26/03/13,E,Y,ANS,ADD,New,P,M,112,BIO SKRUBBER+AC0- 14400M3 PER DAY
104,20122013,30460,19/03/13,D,308,C,C,O,,,26/03/13,E,Y,ANS,ADD,New,P,M,112,BIO SKRUBBER+AC0- 14400M3 PER DAY
