INDENTOR,INDYEAR,INDENTNO,ITEMCODE,SQTY,AP_RATE,AP_VALUE,PURPOSE,ENQYEAR,ENQNO,ENQDATE,ENQQTY,POYEAR,POSERIES,PONO,PODATE,POQTY,SUPPCODE,RECPTYEAR,RECPTNO,RECPTDATE,RECPTQTY,INWYEAR,INWARDNO,INWDATE,INWQTY,STATUS,MAJSRNO,APRVID,GPS_QTY,PEN_QTY,USERID,ACTION,REMARK
122,20122013,5010,11242004,25,78,1950,Plant General Use., ,0,NULL,0, , ,0,NULL,0, , ,0,NULL,0, ,0,NULL,0, , ,Y,0,0,STORE,ADD,                                                                                                                                                                                                        
122,20122013,5010,11242005,25,195,4875,Plant General Use., ,0,NULL,0, , ,0,NULL,0, , ,0,NULL,0, ,0,NULL,0, , ,Y,0,0,STORE,ADD,                                                                                                                                                                                                        
122,20122013,5011,12313002,10,824.5,8245,Plant General Use., ,0,NULL,0,20122013,ST,16,04-04-12,10,302M190,20122013,140,06-04-12,10,20122013,133,06-04-12,10,E, ,Y,0,0,STORE,ADD,                                                                                                                                                                                                        
122,20122013,5011,12314002,10,535,5350,Plant General Use., ,0,NULL,0,20122013,ST,16,04-04-12,10,302M190,20122013,140,06-04-12,10,20122013,133,06-04-12,10,E, ,Y,0,0,STORE,ADD,                                                                                                                                                                                                        
122,20122013,5806,11001494,2,11154.52,22309.04,FOR MERCO, ,0,NULL,0,20122013,ST,2223,04-03-13,2,302S703,20122013,8481,05-03-13,2,20122013,8083,05-03-13,2,E, ,Y,0,0,STORE,ADD,                                                                                                                                                                                                        
122,20122013,5806,11003466,1,4726.47,4726.47,FOR MERCO, ,0,NULL,0,20122013,ST,2224,04-03-13,1,302U093,20122013,8480,05-03-13,1,20122013,8082,05-03-13,1,E, ,Y,0,0,STORE,ADD,                                                                                                                                                                                                        
160,20122013,5807,15202134,100,97.5,9750,for project work, ,0,NULL,0,20122013,CP,434,05-03-13,100,302B187,20122013,8740,15-03-13,100,20122013,8182,09-03-13,100,E, ,Y,0,0,ANS,ADD,                                                                                                                                                                                                        
160,20122013,5807,15202140,2,4385.16,8770.32,for project work, ,0,NULL,0,20122013,CP,433,05-03-13,2,302D122,20122013,8576,08-03-13,2,20122013,8171,08-03-13,2,E, ,Y,0,0,ANS,ADD,                                                                                                                                                                                                        
160,20122013,5807,15202250,3,2490,7470,for project work, ,0,NULL,0,20122013,CP,433,05-03-13,3,302D122,20122013,8576,08-03-13,3,20122013,8171,08-03-13,3,E, ,Y,0,0,ANS,ADD,                                                                                                                                                                                                        
160,20122013,5807,15202273,10,34,340,for project work, ,0,NULL,0,20122013,CP,435,05-03-13,10,302L082,20122013,8596,09-03-13,10,20122013,8189,09-03-13,10,E, ,Y,0,0,ANS,ADD,                                                                                                                                                                                                        
160,20122013,5807,15202490,10,60.75,607.5,for project work, ,0,NULL,0,20122013,CP,433,05-03-13,10,302D122,20122013,8576,08-03-13,10,20122013,8171,08-03-13,10,E, ,Y,0,0,ANS,ADD,                                                                                                                                                                                                        
160,20122013,5808,15202136,5,56.7,283.5,for project work, ,0,NULL,0,20122013,CP,433,05-03-13,5,302D122,20122013,8576,08-03-13,5,20122013,8171,08-03-13,5,E, ,Y,0,0,ANS,ADD,                                                                                                                                                                                                        
160,20122013,5808,15202264,50,71.37,3568.5,for project work, ,0,NULL,0,20122013,CP,434,05-03-13,50,302B187,20122013,8740,15-03-13,55,20122013,8182,09-03-13,55,E, ,Y,0,0,ANS,ADD,                                                                                                                                                                                                        
160,20122013,5808,15202494,10,18.7,187,for project work, ,0,NULL,0,20122013,CP,435,05-03-13,10,302L082,20122013,8596,09-03-13,10,20122013,8189,09-03-13,10,E, ,Y,0,0,ANS,ADD,long nipple heavy duty single compression                                                                                                                                                               
160,20122013,5808,15202537,1,1961.25,1961.25,for project work, ,0,NULL,0,20122013,CP,433,05-03-13,1,302D122,20122013,8576,08-03-13,1,20122013,8171,08-03-13,1,E, ,Y,0,0,ANS,ADD,                                                                                                                                                                                                        
106,20122013,5809,11385028,2,75000,150000,for maize feed pump, ,0,NULL,0, , ,0,NULL,0, , ,0,NULL,0, ,0,NULL,0, , ,Y,0,0,STORE,ADD,                                                                                                                                                                                                        
