INWYEAR,INWARDNO,ITEMCODE,INDENTOR,INDYEAR,INDENTNO,POYEAR,POSERIES,PONO,CHLNQTY,RCVYEAR,RECPTNO,RECVQTY,REJQTY,INWRATE,INWVALUE,BILIND,STATUS,USERID,ACTION
20122013,7974,16201001,,,0,20122013,CO,7,80,20122013,8375,80,0,2,160, ,R,STORE,ADD
20122013,7975,16201001,,,0,20122013,CO,7,80,20122013,8376,80,0,2,160, ,R,STORE,ADD
20122013,7976,15202027,160,20122013,30422,20122013,CP,425,500,20122013,8555,500,0,167.02,83510, ,R,STORE,ADD
20122013,7976,15202264,160,20122013,20167,20122013,CP,422,100,20122013,8555,100,0,84.2,8420, ,R,STORE,ADD
20122013,7977,10210024,150,20102011,50481,20122013,PK,712,100,20122013,8377,100,0,1079.5,107950, ,R,STORE,ADD
20122013,7978,10210004,141,20122013,50552,20122013,PK,693,200,20122013,8378,200,0,1308.99,261798, ,R,STORE,ADD
20122013,7979,11003477,125,20122013,5792,20122013,ST,2185,2,20122013,8379,2,0,2198.48,4396.96, ,R,STORE,ADD
20122013,7980,12370045,153,20122013,90138,20122013,ST,2191,1,20122013,8380,1,0,6488.79,6488.79, ,R,STORE,ADD
20122013,7981,16404007,,,0,20122013,CO,13,27700,20122013,8381,27700,0,0.74,20498, ,R,STORE,UPD
20122013,7982,11606186,130,20122013,30280,20122013,ST,1742,1,20122013,8382,1,0,5956.77,5956.77, ,R,STORE,ADD
20122013,7983,15283866,105,20122013,20173,20122013,OG,86,210,20122013,8445,210,0,146.88,30844.8, ,R,STORE,ADD
20122013,7984,12382165,153,20122013,50682,20122013,ST,2126,2,20122013,8383,2,0,2182.6,4365.2, ,R,STORE,ADD
20122013,7985,15202137,160,20122013,20168,20122013,CP,421,1,20122013,8384,1,0,2059.31,2059.31, ,R,STORE,ADD
20122013,7985,15202342,160,20122013,20167,20122013,CP,421,2,20122013,8384,2,0,941.85,1883.7, ,R,STORE,ADD
20122013,7985,15202537,160,20122013,20167,20122013,CP,421,1,20122013,8384,1,0,2059.31,2059.31, ,R,STORE,ADD
20122013,7986,12015066,160,20122013,90225,20122013,ST,2190,1,20122013,8385,1,0,803.25,803.25, ,R,STORE,ADD
20122013,7987,12502022,112,20122013,30399,20122013,ST,2111,12,20122013,8386,12,0,15.96,191.52, ,R,STORE,ADD
20122013,7988,11206026,112,20122013,30421,20122013,ST,2147,12,20122013,8387,12,0,196.09,2353.08, ,R,STORE,ADD
20122013,7988,11281357,112,20122013,30421,20122013,ST,2147,12,20122013,8387,12,0,132.3,1587.6, ,R,STORE,ADD
20122013,7989,11224002,116,20122013,40509,20122013,ST,2172,2,20122013,8388,2,0,386.4,772.8, ,R,STORE,ADD
20122013,7989,11281011,116,20122013,40509,20122013,ST,2177,1,20122013,8388,1,0,193.2,193.2, ,R,STORE,ADD
20122013,7989,11281309,116,20122013,40509,20122013,ST,2172,6,20122013,8388,6,0,155.4,932.4, ,R,STORE,ADD
20122013,7990,15281086,230,20122013,40453,20122013,CP,317,1,20122013,8389,1,0,12906.45,12906.45, ,R,STORE,ADD
20122013,7991,15216058,240,20122013,40263,20122013,CP,211,6,20122013,8390,6,0,12974.52,77847.12, ,R,STORE,ADD
20122013,7991,15216059,240,20122013,40263,20122013,CP,211,12,20122013,8390,12,0,6020.06,72240.72, ,R,STORE,ADD
20122013,7992,19102104,,,99999,,,99999,1, ,0,1,0,0,0, , ,STORE,ADD
20122013,7993,16201001,,,0,20122013,CO,7,90,20122013,8391,90,0,2,180, ,R,STORE,ADD
20122013,7994,10120004,150,20122013,90145,20122013,CH,634,2515,20122013,8392,2515,0,30.03,75525.45, ,R,STORE,ADD
20122013,7995,10120004,150,20122013,90145,20122013,CH,507,1573,20122013,8393,1573,0,21.24,33410.52, ,R,STORE,ADD
20122013,7996,10120004,150,20122013,90146,20122013,CH,549,1459,20122013,8394,1459,0,28.85,42092.15, ,R,STORE,ADD
20122013,7997,10120004,150,20122013,90145,20122013,CH,636,3630,20122013,8395,3630,0,29.48,107012.4, ,R,STORE,ADD
20122013,7998,10210004,141,20122013,50552,20122013,PK,694,200,20122013,8396,200,0,1308.99,261798, ,R,STORE,ADD
20122013,7999,12305423,182,20122013,40380,20122013,ST,1603,154.56,20122013,8399,154.56,0,546.25,84428.4, ,R,STORE,ADD
20122013,7999,16208021,283,20122013,40311,20122013,MS,107,2,20122013,8399,2,0,3619.05,7238.1, ,R,STORE,ADD
