MJRCODE,DESCR
1,CHEMICAL
2,PACKING
9,SCREEN VALVES
10,BALL BEARING
11,HARDWARE
12,PIPES & PIPE FITTINGS
13,PUMPS  & SPARES
14,INSTRUMENTS
15,TURBINE SPARES
16,BOILER/DG SET SPARES/BIO GAS
17,IRON & STEEL MATERIALS
18,MFG ITEMS & PARTES
19,DIESEL & LUBRICATING OIL
20,ELECTRICAL GOODS
21,ELECTRICAL MOTORS & SPARES
22,CIVIL   ITEMS
23,MISCELLANEOUS
24,SPARES FOR DEXTROSE CENTRIFUGE
25,R.O.PLANT SPARES
30,FURNACE  OIL
40,IMPORTED SPARES
51,SPARES FOR ELECTRONIC SCALE
52,CAPITAL GOODS
60,WELFARE  ITEMS
61,LABORATORY ITEMS
62,SUNDRY SUPPLIES/FACTORY GENERAL.
63,FURNITURE & FIXTURES & OFFICE EQUIP.
64,STATIONERY
65,HOUSE KEEPING ITEMS
66,HORTICULTURE
67,FLY ASH BRICKS
91,SAMPLE RETURN & FREE SUPPLY/REPAIR
92,REPAIRING WORK
96,COAL / LIGNITE
