POYEAR,POSERIES,PONO,PODATE,SUPPCODE,OURREF,YOURREF,NOITEMS,EXCISE,EXCISEPER,EDUCESSPER,SALETAX,SALETAXPER,OCTROIPER,MILDELIV,FREIGHT,PAYTERM,BANKTHRU,ADVAMOUNT,INSURANCE,INSAMOUNT,DESPATCH,REMARK1,REMARK2,REMARK3,REMARK4,CHGPODATE,EXITEMS,STATUS,USERID,ACTION,PRTFLG,FREIGHTRS,ADVNOTENO,BKSRS,VOUNO,ADVPRTFLG,SALETAXPER1,SALETAXPER2,GPS_YEAR,GPS_SER,GPS_NO
20122013,CH,690,02-03-13,302A486,LAST PO.CH/658 DT.15-02-13,,1,2,12,3,1,5,0,MILL-DELIVERY,N I L,60 DAY'S, ,0,0,0,2,,,NOTE : SUBMIT CENVAT COPY ALONG WITH,SUPPLY FOR OUR CENVAT CLAIM,NULL,1,E,STORE,ADD,P,0,0, ,0, ,4,1,,,0
20122013,CH,691,04-03-13,302K206,LAST PO.CH/675 DT.22-02-13,,4,3,54,3,1,5,0,MILL-DELIVERY-{GFL MAKE},N I L,60 DAY'S, ,0,0,0,2,,,NOTE : SUBMIT CENVAT COPY ALONG WITH,SUPPLY FOR OUR CENVAT CLAIM,NULL,4,E,STORE,ADD,P,0,0, ,0, ,4,1,,,0
20122013,CH,692,04-03-13,302Z014,LAST PO.CH/550 DT.19-12-12,,2,1,0,0,2,2,0,MILL-DELIVERY,N I L,AGAINST DELIVERY, ,0,0,0,3,,,NOTE : SUBMIT CENVAT COPY ALONG WITH,SUPPLY FOR OUR CENVAT CLAIM,NULL,2,E,STORE,ADD,P,0,0, ,0, ,2,0,,,0
20122013,CH,693,04-03-13,302T029,LAST PO.CH/638 DT.05/02/13,,1,1,0,0,2,2,0,EX.PUNE,EXTRA AT ACTUAL,60 DAY'S, ,0,0,0,3,,,NOTE : SUBMIT CENVAT COPY ALONG WITH,SUPPLY FOR OUR CENVAT CLAIM,NULL,1,E,STORE,ADD,P,0,0, ,0, ,2,0,,,0
20122013,CH,694,04-03-13,302I093,E-MAIL DT.05/12/12,,1,0,0,0,1,5,0,MILL DELIVERY,NIL,60 DAY'S, ,0,0,0,3,,,,,NULL,1,E,STORE,ADD,P,0,0, ,0, ,4,1,,,0
20122013,CH,695,04-03-13,302I093,LAST PO.CH/684 DT.27/02/13,,1,3,2.88,3,1,5,0,MILL DELIVERY,NIL,60 DAY'S, ,0,0,0,3,,,NOTE : SUBMIT CENVAT COPY ALONG WITH,SUPPLY FOR OUR CENVAT CLAIM,NULL,1,E,STORE,ADD,P,0,0, ,0, ,4,1,,,0
20122013,CH,696,05-03-13,302K060,TELE.ENQ.,TELE.QUOT.,3,3,3.06,3,1,5,0,MILL-DELIVERY-{ MFL } MAKE,N I L,60 DAY'S, ,0,0,0,2,,,NOTE : SUBMIT CENVAT COPY ALONG WITH,SUPPLY FOR OUR CENVAT CLAIM,NULL,3,E,STORE,ADD,P,0,0, ,0, ,4,1,,,0
20122013,CH,697,05-03-13,302G253,LAST PO.CH/676 DT.23-02-13,,2,3,150,3,1,5,0,MILL-DELIVERY-{ GACL } MAKE,N I L,60 DAY'S, ,0,0,0,2,,,NOTE : SUBMIT CENVAT COPY ALONG WITH,SUPPLY FOR OUR CENVAT CLAIM,NULL,2,E,STORE,ADD,P,0,0, ,0, ,4,1,,,0
20122013,CH,698,07-03-13,302G253,LAST PO.CH/689 DT.28-02-13,,3,3,54,3,1,5,0,MILL-DELIVERY-{GFL} MAKE,N I L,60 DAY'S, ,0,0,0,2,,,NOTE : SUBMIT CENVAT COPY ALONG WITH,SUPPLY FOR OUR CENVAT CLAIM,NULL,3,E,STORE,ADD,P,0,0, ,0, ,4,1,,,0
20122013,CH,699,07-03-13,302I093,TELE.ENQ.,TELE.QUOT.,1,0,0,0,1,5,0,MILL-DELIVERY,N I L,60 DAY'S, ,0,0,0,3,,,,,NULL,1,E,STORE,ADD,P,0,0, ,0, ,4,1,,,0
