RCVYEAR,RECPTNO,RCVDATE,INWYEAR,INWARDNO,INWDATE,CHALLAN,SUPPCODE,TRCODE,STATUS,USERID,ACTION,EXCISABLE,GPRECEIVED,GPDATE
20122013,8375,01-03-13,20122013,7974,01-03-13,174,302S421,51, ,STORE,ADD,N,N,01-03-13
20122013,8376,01-03-13,20122013,7975,01-03-13,159,302S421,51, ,STORE,ADD,N,N,01-03-13
20122013,8377,01-03-13,20122013,7977,01-03-13,4125,302N176,51, ,STORE,ADD,Y,Y,01-03-13
20122013,8378,01-03-13,20122013,7978,01-03-13,1983,302T141,51, ,STORE,ADD,Y,Y,01-03-13
20122013,8379,01-03-13,20122013,7979,01-03-13,3532,302U093,51, ,STORE,ADD,Y,Y,01-03-13
20122013,8380,01-03-13,20122013,7980,01-03-13,55,302E110,51, ,STORE,UPD,Y,Y,01-03-13
20122013,8381,01-03-13,20122013,7981,01-03-13,159-R,302A170,51, ,STORE,ADD,N,N,01-03-13
20122013,8382,01-03-13,20122013,7982,01-03-13,388,302D174,51, ,STORE,ADD,N,N,01-03-13
20122013,8383,01-03-13,20122013,7984,01-03-13,5376,302J153,51, ,STORE,ADD,Y,Y,01-03-13
20122013,8384,01-03-13,20122013,7985,01-03-13,2016,302D122,51, ,STORE,ADD,N,N,01-03-13
20122013,8385,01-03-13,20122013,7986,01-03-13,2017,302D122,51, ,STORE,UPD,N,N,01-03-13
20122013,8386,01-03-13,20122013,7987,01-03-13,27213,302K198,51, ,STORE,ADD,N,N,01-03-13
20122013,8387,01-03-13,20122013,7988,01-03-13,7213-2,302K198,51, ,STORE,ADD,N,N,01-03-13
20122013,8388,01-03-13,20122013,7989,01-03-13,2172,302K198,51, ,STORE,ADD,N,N,01-03-13
20122013,8389,01-03-13,20122013,7990,01-03-13,267,302A331,51, ,STORE,ADD,N,N,01-03-13
20122013,8390,01-03-13,20122013,7991,01-03-13,268,302A331,51, ,STORE,ADD,N,N,01-03-13
20122013,8391,02-03-13,20122013,7993,02-03-13,161,302S421,51, ,STORE,ADD,N,N,02-03-13
20122013,8392,02-03-13,20122013,7994,02-03-13,NIL,302S866,51, ,STORE,ADD,Y,Y,02-03-13
20122013,8393,02-03-13,20122013,7995,02-03-13,A-993,302V156,51, ,STORE,ADD,Y,Y,02-03-13
20122013,8394,02-03-13,20122013,7996,02-03-13,1257,302G191,51, ,STORE,ADD,Y,Y,02-03-13
20122013,8395,02-03-13,20122013,7997,02-03-13,647,302V059,51, ,STORE,ADD,Y,Y,02-03-13
20122013,8396,02-03-13,20122013,7998,02-03-13,1984,302T141,51, ,STORE,ADD,Y,Y,02-03-13
20122013,8397,02-03-13,20122013,6924,22-01-13,107,302N075,51, ,STORE,ADD,N,N,02-03-13
20122013,8398,02-03-13,20122013,6926,22-01-13,109,302N075,51, ,STORE,ADD,N,N,02-03-13
20122013,8399,02-03-13,20122013,7999,02-03-13,255,302N075,51, ,STORE,ADD,N,N,02-03-13
20122013,8400,02-03-13,20122013,8000,02-03-13,4145,302N176,51, ,STORE,ADD,Y,Y,02-03-13
20122013,8401,02-03-13,20122013,8002,02-03-13,4149,302N176,51, ,STORE,ADD,Y,Y,02-03-13
20122013,8402,02-03-13,20122013,8004,02-03-13,395,302G194,51, ,STORE,ADD,Y,Y,02-03-13
20122013,8403,02-03-13,20122013,8005,02-03-13,104,302D204,51, ,STORE,ADD,Y,Y,02-03-13
20122013,8404,02-03-13,20122013,8006,02-03-13,348,302A296,51, ,STORE,ADD,Y,Y,02-03-13
20122013,8405,04-03-13,20122013,8035,04-03-13,176,302S421,51, ,STORE,ADD,N,N,04-03-13
