RCVYEAR,RECPTNO,ITEMCODE,ITEMSRNO,ITEMFOR,INDENTOR,INDYEAR,INDENTNO,POYEAR,POSERIES,PONO,DEPTYPE,DEPTCODE,RECVQTY,TOKQTY,REJQTY,OKQTY,RATE,ADDPER,LESSPER,TOKVALUE,REJVALUE,RCPVALUE,BILLNO,BILLDATE,EXCISE,EXCISECESS,CENVAT,CENVATCESS,BILLPARTY,BILLCITY,EXCHAPTER,STATUS,USERID,ACTION,REJYEAR,REJNO,REJDATE,DEBAMT,EXCISEHCESS,CENVATHCESS,IMPDUTY,MCHTYPE,MACHCODE
20122013,8375,16201001,1,,,,0,20122013,CO,7,D,406,80,80,0,80,2,0,0,160,0,160,,NULL,0,0,0,0,,, , ,STORE,ADD, ,0,NULL,0,0,0,0, , 
20122013,8376,16201001,1,,,,0,20122013,CO,7,D,406,80,80,0,80,2,0,0,160,0,160,,NULL,0,0,0,0,,, , ,STORE,ADD, ,0,NULL,0,0,0,0, , 
20122013,8377,10210024,1,S,150,20102011,50481,20122013,PK,712,D,507,100,100,0,100,1079.5,0,0,107950,0,107950,4125,28-02-13,10980,220,10980,220,N.B.COMM. ENT.P.LTD,AHMEDABAD,Y 3923/90,P,STORE,ADD, ,0,NULL,0,110,110,0, , 
20122013,8378,10210004,1,S,141,20122013,50552,20122013,PK,693,D,501,200,200,0,200,1308.99,0,0,261798,0,261798,1983,24-02-13,27960,559,27960,559,TIME MAUSER INDUSTRIES PVT.LTD.,DAMAN (U.T.),Y 7310.00,P,STORE,ADD, ,0,NULL,0,280,280,0, , 
20122013,8379,11003477,1,S,125,20122013,5792,20122013,ST,2185,D,8,2,2,0,2,2198.48,0,0,4396.96,0,4396.96,2493,01-03-13,218,0,218,0,UNI SALES INDIA,AHMEDBAD, , ,STORE,ADD, ,0,NULL,0,0,0,82, , 
20122013,8380,12370045,1,S,153,20122013,90138,20122013,ST,2191,D,901,1,1,0,1,6488.79,0,0,6488.79,0,6488.79,55,26-02-13,660,13,660,13,EEWA ENGINEERING CO. PVT.LTD,AHMEDABAD, , ,STORE,UPD, ,0,NULL,0,7,7,0, , 
20122013,8381,16404007,1,,,,0,20122013,CO,13,D,1**,27700,27700,0,27700,0.74,0,0,20498,0,20498,,NULL,0,0,0,0,,, , ,STORE,ADD, ,0,NULL,0,0,0,0, , 
20122013,8382,11606186,1,S,130,20122013,30280,20122013,ST,1742,D,306,1,1,0,1,5956.77,0,0,5956.77,0,5956.77,,NULL,0,0,0,0,,, ,P,STORE,ADD, ,0,NULL,0,0,0,0, , 
20122013,8383,12382165,1,S,153,20122013,50682,20122013,ST,2126,D,507,2,2,0,2,2182.6,0,0,4365.2,0,4365.2,5376,26-02-13,444,9,444,9,JACKTECH HYDRAULICS,AHMEDABAD, , ,STORE,ADD, ,0,NULL,0,4,4,0, , 
20122013,8384,15202137,1,C,160,20122013,20168,20122013,CP,421,D,202,1,1,0,1,2059.31,0,0,2059.31,0,2059.31,,NULL,0,0,0,0,,,,P,STORE,ADD, ,0,NULL,0,0,0,0, ,118
20122013,8384,15202342,1,C,160,20122013,20167,20122013,CP,421,D,202,2,2,0,2,941.85,0,0,1883.7,0,1883.7,,NULL,0,0,0,0,,, ,P,STORE,ADD, ,0,NULL,0,0,0,0, ,118
20122013,8384,15202537,1,C,160,20122013,20167,20122013,CP,421,D,202,1,1,0,1,2059.31,0,0,2059.31,0,2059.31,,NULL,0,0,0,0,,,,P,STORE,ADD, ,0,NULL,0,0,0,0, ,118
20122013,8385,12015066,1,S,160,20122013,90225,20122013,ST,2190,D,901,1,1,0,1,803.25,0,0,803.25,0,803.25,,NULL,0,0,0,0,,,C,P,STORE,UPD, ,0,NULL,0,0,0,0, , 
20122013,8386,12502022,1,S,112,20122013,30399,20122013,ST,2111,D,304,12,12,0,12,15.96,0,0,191.52,0,191.52,,NULL,0,0,0,0,,,,P,STORE,ADD, ,0,NULL,0,0,0,0, , 
20122013,8387,11206026,1,S,112,20122013,30421,20122013,ST,2147,D,304,12,12,0,12,196.09,0,0,2353.08,0,2353.08,,NULL,0,0,0,0,,, ,P,STORE,ADD, ,0,NULL,0,0,0,0, , 
20122013,8387,11281357,1,S,112,20122013,30421,20122013,ST,2147,D,304,12,12,0,12,132.3,0,0,1587.6,0,1587.6,,NULL,0,0,0,0,,, ,P,STORE,ADD, ,0,NULL,0,0,0,0, , 
20122013,8388,11224002,1,S,116,20122013,40509,20122013,ST,2172,D,407,2,2,0,2,386.4,0,0,772.8,0,772.8,,NULL,0,0,0,0,,, ,P,STORE,ADD, ,0,NULL,0,0,0,0, , 
20122013,8388,11281011,1,S,116,20122013,40509,20122013,ST,2177,D,407,1,1,0,1,193.2,0,0,193.2,0,193.2,,NULL,0,0,0,0,,, ,P,STORE,ADD, ,0,NULL,0,0,0,0, , 
20122013,8388,11281309,1,S,116,20122013,40509,20122013,ST,2172,D,407,6,6,0,6,155.4,0,0,932.4,0,932.4,,NULL,0,0,0,0,,, ,P,STORE,ADD, ,0,NULL,0,0,0,0, , 
20122013,8389,15281086,1,C,230,20122013,40453,20122013,CP,317,D,412,1,1,0,1,12906.45,0,0,12906.45,0,12906.45,,NULL,0,0,0,0,,, ,P,STORE,ADD, ,0,NULL,0,0,0,0, ,O01
20122013,8390,15216058,1,C,240,20122013,40263,20122013,CP,211,D,414,6,6,0,6,12974.52,0,0,77847.12,0,77847.12,,NULL,0,0,0,0,,, ,P,STORE,ADD, ,0,NULL,0,0,0,0, ,B14
20122013,8390,15216059,1,C,240,20122013,40263,20122013,CP,211,D,414,12,12,0,12,6020.06,0,0,72240.72,0,72240.72,,NULL,0,0,0,0,,, ,P,STORE,ADD, ,0,NULL,0,0,0,0, ,B14
