MJRCODE,SUBCODE,DESCR
1,1,ACID
1,2,RESINS
1,3,CARBON
1,4,CAUSTIC  SODA
1,5,GLYCERINE
1,6,GAS ENGINE RADIATOR CLEANING
1,20,GAS
1,21,DICAMOL
1,81,OTHERS
2,1,L D P E    BAGS
2,2,H D P E   BAGS
2,3,HESSIAN  BAGS
2,4,PAPER BAGS
2,9,INTERMEDIATE BULK CONTAINER (IBC)
2,10,NEW  DRUMS
2,11,SECOND HAND DRUMS
2,12,HYDROL QUALITY DRUMS
2,13,FIBRE DRUMS
2,81,OTHERS
9,1,DSM
9,2,PIPES
10,1,SKF
10,2,RHP
10,3,FAG
10,4,PEDASTAL
10,5,POLLARD
10,6,BEARING SLEEVES
10,7,ZKL
10,11,OTHERS MAKES
10,24,MERCONE
10,81,OTHERS
11,1,TOOLS
11,2,BELTS
11,3,"BOLTS, NUTS, WASHERS, STUD,NAILS ETC"
11,4,PINS & SCREWS
11,5,PAINTS
11,6,NETTING WIRE
11,7,PACKING & JOINTING SHEETS
11,8,HOSE PIPES
11,33,"BOLT - NUT,WASHER,STUD , NAIL ETC."
11,65,SPARES FOR CALAMA SUBMERCIBLE PUMP
11,81,OTHERS
11,82,OTHERS
12,1,GALV.PIPES
12,2,STEAM/MS PIPES
12,3,SS PIPES
12,4,COPPER PIPES
12,5,CAST IRON PIPES
12,6,MISC.PIPES
12,7,HDPE / PVC PIPE & FITTINGS
12,10,GM VALVES
12,11,SS VALVES
12,12,CI VALVES
12,13,CS VALVES
12,14,CIRL VALVES
12,15,PP VALVES
12,16,MISC.VALVES
12,20,GALV.BENDS/ELBOWS/NIPPLES
12,21,SS BENDS/ELBOWS/NIPPLES
12,22,STEAM/MS BENDS/ELBOWS/NIPPLES
12,23,CI BENDS/ELBOWS/NIPPLES
12,24,MISC.BENDS/ELBOWS/NIPPLES
12,25,SPARES FOR S.S.VALVE'S
12,30,GALV TEES
12,31,SS TEES
12,32,STEAM/MS TEES
12,33,CI  TEES
12,34,MISC  TEES
12,40,GALV FLANGGES
12,41,STEAM/MS FLANGES
12,42,SS  (STUB  END)  FLANGES
12,50,GALV  COUPLINGS
12,51,STEAM/MS  COUPLINGS
12,60,GALV  UNIONS
12,61,STEAM/MS  UNIONS
12,62,SS  UNIONS
12,70,SPARES  FOR REDUCING VALVE
12,81,OTHERS
13,1,NON CLOG PUMPS
13,2,PROCESS PUMPS
13,3,BOILER TURBO PUMPS SPARES
13,4,SPARES FOR WATER FEED HDA 65/11 PUMP
13,5,CHEMICAL PUMPS
13,6,VACCUM  PUMPS
13,7,SELF PRIMING SEWAGE PUMPS
13,8,SELF PRIMING  WATER PUMPS
13,9,GEAR PUMPS
13,10,PLUNGER  PUMPS
13,11,SUBMERSIBLE PUMPS
13,12,MISC  PUMPS
13,13,STAMP PUMP P-3522 /7.5 HP ( HMCS )
13,14,MONOBLOCK  PUMP
13,15,HIGH PRESSURE PUMP & SPARE
13,16,KSB CPKC 50/250 PUMP SPARE
13,17,SPARES FOR CPKC 40-200
13,18,MEGA CHEM SPARE
13,19,JAY KHODIYAR PUMP SPARES
13,20,SPARE FOR 3NK10 PUMP
13,21,VOLUTE  CHMABERS/DELIVERY CASING
13,22,SUCTION  COVERS
13,23,STUFFING  BOX  COVERS
13,24,PUMP  SHAFT
13,25,IMPELLER/ROTAR
13,26,BEARING  PEDESTAL
13,27,BASE  PLATES
13,28,CI  COUPLINGS
13,29,CPHM PUMP SPARES
13,30,"S/P FOR AROTO ROTARY GEAR PUMP 1""X1"""
13,31,GRUNDFOS PUMP
13,32,JEC PUMP SPARE
13,33,SWELORE PUMP SPARES
13,34,SPARES FOR KBL KPD 80/26 PUMP
13,35,S/P FOR KPD 20/16 PUMP
13,36,"SPARES FOR ""KIRL"" PUMP KPD 32/16."
13,37,"SPARES FOR ""KIRL""PUMP KPD 65/26."
13,38,SPARES FOR 4NK 125 PIUMP 100 X 100
13,39,SPARES FOR PUMP TYPE KPD 65/20
13,40,"SPARES FOR ""KIRL"" PUMP SHD 65/32N"
13,41,S/P FOR 'KIRL' CI SP4LA PUMP 150X100
13,42,SPARES FOR PUMP P.D.P.
13,43,SPARES FOR AKAY PUMP (CHEM-FLOW)
13,44,SPARES FOR 15 CH 55 PUMP
13,45,SPARES FOR UNIVERSAL METERING PUMP
13,46,SPARES FOR SP3L KIRLOSKAR PUMP
13,47,SPARES FOR 4UP 3 KIRLOSKAR PUMP
13,48,PUMP CASINGS
13,49,"S/P FOR ""KIRL""SHM 150/26NB PUMP"
13,50,"S/P FOR ""KIRL""SHM 125/26N PUMP"
13,51,SPARES FOR KSB FEED PUMP 810467
13,52,SPARES FOR CI STROK PUMP KGEN 14-8
13,53,SPARE FOR FM4 VULCAN PUMP
13,54,SPARES FOR EM 1D IV A VALCAN PUMP
13,55,SPARES FOR KHIMLINE PUMPS
13,56,S/P FOR FEED PUMP WL 50/10 SR.01044
13,57,SPARES FOR WL 80/9 A.D.PUMP
13,58,SPARES FOR 80/9 HWD KSB PUMP
13,59,SPARES FOR SU PUMP CPPO 40X25X180
13,60,SPARES FOR ROTO PUMP MT 60
13,61,SPARES FOR VULCAN PUMP
13,62,SPARES FOR ALFA PUMP
13,63,SPARES FOR WL 100/6 KSB PUMP
13,64,"SPARES FOR ANTICO ACID PUMP 3/4""X3/4"
13,65,SPARE CALAMA SUMERCIBLE PUMP 90HP
13,66,"SPARES FOR ""KSB"" PUMP CPK 65/315"
13,67,SPARES FOR 2TNA 40 TYPE ROTO PUMP
13,68,SS KPD 25/16Q PUMP NO:1373792031
13,69,SPARES FOR SHD 80/26 N SS PUMP KIRL.
13,70,SPARES FOR SP2L PUMP
13,71,SPARES OF MT70 R 5 ROTO PUMP
13,72,SPARES OF STORK PUMP KGEN 11 4
13,73,PUMP SPARES OF 3TNA60H7 ROTO PUMP
13,74,"SPARES FOR ""STORK PUMP"" TY:CM 40-160"
13,75,SPARES FOR KGEL 16 6 TYPE STORK PUMP
13,76,"S/P FOR STORK KGEN29,MB15,150X150 PU"
13,77,SPARES FOR KPD 125/26 PUMP
13,78,S/P FOR MATZ DOZZING PUMP TY:UMPN-00
13,79,"SPARES FOR CI DB 80/16 ""KIRL"" PUMP"
13,80,S/P FOR KSB TYPE:CPK C 50-160 PUMP
13,81,OTHERS
13,82,"SPARES FOR ""NEPTUNE"" H.P.PUMP"
13,83,"SPARES FOR ""KIRL."" DB 50/16 PUMP"
13,84,"S/P  FOR ""KIRL."" PUMP TYPE:KDS 225++"
13,85,"SPARE FOR ""KIRL."" SHM 80/40 NM PUMP"
13,86,S/P FOR  STORK PUMP TYPE :CN:32-160
13,87,"S/P OF ""KIRL"" PUMP TYPE:DB 65/13"
13,88,"S/P FOR ""KSB""  CPK 32/160 PUMP"
13,89,"SPARE'S FOR ""PPI"" VACU.PUMP VWS-100C"
13,90,"SPARE'S ""KSB"" PUMP TYPE CPK-C-50-200"
13,91,"SPARE'S FOR ""KIRL."" DB 65/32 PUMP"
13,92,SPARE'S FOR PRECIDOSE DOZZING PUMP
13,93,"S/P FOR ""STORK"" PUMP CN 32-250 G151L"
13,94,"GM ""X"" LAVAL MONOBLOCK PUMP:85110791"
13,95,SPARE'S  FOR 2TNA-60 ROTO PUMP
13,96,"SPARE'S FOR ""SWELORE"" DOZZING PUMP"
13,97,SPARE OF HP PUMP{GRUNDFOS}CRN45-10-2
13,98,"SPARES FOR ""KSB"" 32/125 PUMP"
13,99,"SPARE'S FOR ""KPD"" 80/32 PUMP"
14,1,PRESSURE GAUGE
14,2,VACCUM GAUGE
14,3,DRAFT GAUGE
14,10,THERMOMETER
14,11,ROTAMETER
14,12,TRANSMETER
14,13,WATER METER
14,20,PRESSURE/VACUUM/TEMP. SWITCHES
14,30,INDICATORS
14,40,RECORDERS
14,50,CONTROLERS
14,51,S/P FOR TAYLOR AIR REGULATOR FILTER
14,52,SPARES FOR FLOW MEASUREMENT SCALE
14,81,OTHERS
15,1,ELECTRICAL SPARES ALTERNATOR
15,2,ELECTRICAL SPARES HT CIRCUIT BREAKER
15,3,ELECTRICAL SPARES LT CIRCUIT BREAKER
15,4,ELECTRICAL SPARES CONTROL PANELS
15,5,ELECTRICAL SPARES RELAYS
15,9,ELECTRICAL SPARES OTHERS
15,10,MECHANICAL SPARES TURBINE SPARES
15,11,MECHANICAL SPARES BEARINGS
15,12,MECHANICAL SPARES GEAR PUMPS
15,13,MECHANICAL SPARES OIL COOLERS
15,14,MECHANICAL SPARES AIR COOLERS
15,15,MECHANICAL SPARES OIL FILTERS
15,16,MECHANICAL SPARES AIR FILTERS
15,19,MECHANICAL SPARES OTHERS
15,25,MECHANICAL SPARES OILFILTERS(NEW TG)
15,26,MECHANICAL SPARES - NEW TURBINE 4MW
15,81,OTHERS
16,1,SPARES FOR NEW BOILER
16,2,SPARES FOR OLD BOILER
16,3,SPARE'S FOR ASH HANDLING PLANT
16,6,OTHERS SPARES
16,7,SPARES FOR NB2 STOKER
16,8,"S/P OF RGB,HORI.PBL,SR 8094,TYPE43K"
16,9,SPARES FOR 40 TPH CVPL-BOILER
16,10,"SPARES FOR 500 KVA ""VOLVO"" PENTA ENG"
16,11,SPARES OF 1000 KVA DG SET KTA 3067/G
16,12,S/P:PRES.POWRED PUMP PKG:25NB/40NB
16,13,DG SET 1000KVA CUMMINS SPARES
16,14,IBL 14.5 TPH BOILER
16,15,SPARES FOR WASTEHEAT RECOVERY BOILER
16,16,SPARES FOR 15TR REF GAS DRYER
16,17,SPARES FOR H2S SCRUBBER
16,18,4MW TURBINE SPARES
16,19,SPARES FOR 945 KW BIO GAS GENSET
16,20,SPARES FOR FUEL HANDLING PLANT
17,1,GIRDERS
17,2,CHANNELS
17,3,ANGLES
17,4,PLATES
17,5,FLATS
17,6,RODS (BAR)
17,81,OTHERS
18,1,PB
18,2,GM
18,3,SS
18,4,CI
18,5,MS
18,6,CS
18,7,EN-8 & EN-31 MATERIAL'S
18,8,EN-24 MATERIAL'S
18,9,PP/HDPE
18,26,MACHINERY ON RENT
18,81,OTHERS
19,1,DIESEL
19,2,LUBRICATING OIL
20,1,CABLES
20,2,WIRES
20,3,SWITCHES
20,4,FUSES
20,5,LAMPS/TUBES
20,6,BATTERIES/CELLS
20,7,BOARDS
20,8,AMMETERS
20,9,CONTACTORS / COILS
20,10,TRANSFORMERS
20,11,STARTERS
20,12,SWITCH GEARS
20,13,FANS
20,14,TUBE FITTINGS
20,15,RELAYS
20,16,REMI SPARE
20,19,SPARE FOR CIRCUIT BREAKER 3200 AMP
20,20,SPARES FOR CIRCUIT BREAKER 3000 AMP
20,21,SPARE FOR ACB TYPE OMA 31 3400 AMP
20,22,SPARE  FOR ACB 2500 AMP CN-CS TYPE
