INDENTOR,INDYEAR,INDENTNO,ITEMCODE,SQTY,AP+AF8-RATE,AP+AF8-VALUE,PURPOSE,ENQYEAR,ENQNO,ENQDATE,ENQQTY,POYEAR,POSERIES,PONO,PODATE,POQTY,SUPPCODE,RECPTYEAR,RECPTNO,RECPTDATE,RECPTQTY,INWYEAR,INWARDNO,INWDATE,INWQTY,STATUS,MAJSRNO,APRVID,GPS+AF8-QTY,PEN+AF8-QTY,USERID,ACTION,REMARK
122,20122013,5010,11242004,25,78,1950,Plant General Use., ,0,NULL,0, , ,0,NULL,0, , ,0,NULL,0, ,0,NULL,0, , ,Y,0,0,STORE,ADD,                                                                                                                                                                                                        
122,20122013,5010,11242005,25,195,4875,Plant General Use., ,0,NULL,0, , ,0,NULL,0, , ,0,NULL,0, ,0,NULL,0, , ,Y,0,0,STORE,ADD,                                                                                                                                                                                                        
122,20122013,5012,11242039,25,115,2875,Plant General Use., ,0,NULL,0,20122013,ST,21,00:00.0,18,302C003,20122013,135,00:00.0,18,20122013,129,00:00.0,18, , ,Y,0,0,STORE,ADD,                                                                                                                                                                                                        
122,20122013,5012,11242029,25,225,5625,Plant General Use., ,0,NULL,0,20122013,ST,21,00:00.0,18,302C003,20122013,380,00:00.0,18,20122013,350,00:00.0,18, , ,Y,0,0,STORE,ADD,                                                                                                                                                                                                        
106,20122013,5016,12382252,4,0,0,FOR VETTER PRESS.,20122013,1,00:00.0,4,20122013,ST,84,00:00.0,2,302R179,20122013,1041,00:00.0,2,20122013,992,00:00.0,2, , ,Y,0,0,STORE,ADD,                                                                                                                                                                                                        
122,20122013,5019,19222044,1,8300,8300,FOR MST MERCO., ,0,NULL,0, , ,0,NULL,0, , ,0,NULL,0, ,0,NULL,0, , ,Y,0,0,STORE,ADD,                                                                                                                                                                                                        
160,20122013,5021,19202138,1,940,940,for boiler NB3, ,0,NULL,0, , ,0,NULL,0, , ,0,NULL,0, ,0,NULL,0, , ,Y,0,0,STORE,ADD,                                                                                                                                                                                                        
160,20122013,5021,19202153,10,315,3150,FOR PLANT PURPOSE, ,0,NULL,0, , ,0,NULL,0, , ,0,NULL,0, ,0,NULL,0, , ,Y,0,0,STORE,ADD,                                                                                                                                                                                                        
122,20122013,5022,11805004,12,2900,34800,for buhler section, ,0,NULL,0, , ,0,NULL,0, , ,0,NULL,0, ,0,NULL,0, , ,Y,0,0,AAM,ADD,                                                                                                                                                                                                        
160,20122013,5025,12013022,2,5975,11950,PLANT USE, ,0,NULL,0, , ,0,NULL,0, , ,0,NULL,0, ,0,NULL,0, , ,Y,0,0,STORE,ADD,ALMONARD OR ANY STANDARD MAKE                                                                                                                                                                           
106,20122013,5027,11203014,12,1780,21360,Modification in Merco for Vent Box Removal work., ,0,NULL,0, , ,0,NULL,0, , ,0,NULL,0, ,0,NULL,0, , ,Y,0,0,STORE,ADD,                                                                                                                                                                                                        
106,20122013,5031,11211072,3,9500,28500,New Merco GT To be convert in Clerifier., ,0,NULL,0, , ,0,NULL,0, , ,0,NULL,0, ,0,NULL,0, , ,Y,0,0,STORE,ADD,                                                                                                                                                                                                        
106,20122013,5031,11203014,38,1780,67640,New Merco GT To be convert in Clerifier., ,0,NULL,0, , ,0,NULL,0, , ,0,NULL,0, ,0,NULL,0, , ,Y,0,0,STORE,ADD,                                                                                                                                                                                                        
106,20122013,5031,11242006,18,210,3780,New Merco GT To be convert in Clerifier., ,0,NULL,0, , ,0,NULL,0, , ,0,NULL,0, ,0,NULL,0, , ,Y,0,0,STORE,ADD,                                                                                                                                                                                                        
106,20122013,5031,11221034,14,1500,21000,New Merco GT To be convert in Clerifier., ,0,NULL,0, , ,0,NULL,0, , ,0,NULL,0, ,0,NULL,0, , ,Y,0,0,STORE,ADD,                                                                                                                                                                                                        
106,20122013,5031,11241012,18,215,3870,New Merco GT To be convert in Clerifier., ,0,NULL,0, , ,0,NULL,0, , ,0,NULL,0, ,0,NULL,0, , ,Y,0,0,STORE,ADD,                                                                                                                                                                                                        
