ITEMCODE,DESCR1,DESCR2,DESCR3,DESCR4,UNIT,PARTNO,EXCHAPTER,EXCHAPTERDESCR,ALTPARTNO,LOCATION,STKQTY,STKVALUE,STKRATE,LSUPPCODE,LPOYEAR,LPOSERIES,LPONUMBER,LSUPPRATE,LRECVDATE,LISSUDATE,AVGISUQTY,AVGISUVLU,CYROPNQTY,CYROPNVLU,LYRECPQTY,LYRECPVLU,LYRISUQTY,LYRISUVLU,MINSTK,MAXSTK,ABCLASS,VARIANCE,STATUS,USERID,ACTION,ACTIONDATE,CYRISUQTY,CYRISUVLU,LPODATE,ITEMTYPE
19202317,"MONOBLOCK 0.5HP/2800RPM,""KIRL.""","REPAIR,SINGLE PHASE,""F""CLASS,",WITH FITTED REQUIRE NEW PART'S,ALL DETAIL'S AS ENGR'S INSTRUCTION'S,NO, , ,                    , , ,0,0,750,302S517,20022003,RP,224,750,07/01/2003,NULL,0,0,0,0,0,0,0,0,0,0,A,20, , , ,NULL,0,0,07/01/2003,  
19202359,"ROTOR OF ""CG""MAKE SLIP-RING INDU.,-",MOTOR KW 75 HP X 100 RPM,VOLTS:415-AMP:135,ALL DETAIL'S AS OUR ELECT. ENGR'S INSTRUCTION'S & AS YR.QUOT.,NO, , ,                    , , ,0,0,13000,302R181,20032004,RP,197,13000,10/01/2004,NULL,0,0,0,0,0,0,0,0,0,0,A,20, , , ,NULL,0,0,02/12/2003,  
19201590,"PULLEY CI 42""DIA REPARING WT 6+6 SQ.",BAR NEW SHAFT FITTING'S {TOTAL 09 PC,FOR OUR STARCH OIL EXPELLER,ALL DETAIL'S AS OUR ENGR'S INST.,NO, , ,                    , , ,0,0,23800,302S240,20032004,RP,285,28000,26/03/2004,NULL,0,0,0,0,0,0,0,0,0,0,A,20, , , ,NULL,0,0,26/03/2004,  
19201545,PUMP 085 HP,07 STAGE BPN 374/7+NB853,REPAIR WITH FITTED NEW REQUIRE PARTS,ALL DETAIL'S AS OUR ENGR'S INSTRUCT-ION'S & AS PER YR.QUOTATION.,NO, , ,                    , , ,0,0,22923.5,302P135,20062007,RP,110,22041.82,06/04/2007,NULL,0,0,0,0,0,0,0,0,0,0,A,20, , , ,NULL,0,0,13/03/2007,  
19201094,CONVEYOUR BELT REPARING/VULCANIZING-,OF THROW -CUT (HOLE) WITH PLY TOP &,BOTTOM ON ASH CONV.BELT IN BOILER,ALL DETAIL'S AS OUR ENGR'S INSTRUCTI,NO, , ,                    , , ,0,0,0,302J104,20002001,RP,133,2880,NULL,NULL,0,0,0,0,0,0,0,0,0,0,A,20, , , ,NULL,0,0,18/11/2000,  
19201290,HEADER (OLD)NATURAL RUBBER LINING-,TOBE DONE AT OUR SITE,SHORE HARDNESS,"65 DEG.""C"" + - 5 DEG.""C"" SHORE:""A"",ALL DETAIL'S AS OUR ENGR'S INSTRUCTI",NO, , ,                    , , ,0,0,6000,302J111,20012002,RP,240,6000,10/01/2002,NULL,0,0,0,0,0,0,0,0,0,0,A,20, , , ,NULL,0,0,10/01/2002,  
19201427,HYDRAULIC POWER PACK PIPING WORK-,WITH MATERIAL OF SEAMLESS PIPE'S,FITTINGS/CLAMPS ETC.WT DRIVING UNIT,ALL DETAIL'S AS OUR ENGR'S INSTRUCTI,NO, , ,                    , , ,0,0,17843.2,302C139,20022003,RP,150,17843.2,29/10/2002,NULL,0,0,0,0,0,0,0,0,0,0,A,20, , , ,NULL,0,0,06/09/2002,  
19201463,"PUMP BOILER FEED ""KSB""TYPE MOVI 32/6",TO BE REPAIR,WITH FITTED REQUIRE NEW PART'S,ALL DETAIL'S AS OUR ENGR'S-INSTRUCTION'S & AS PER YR QUOT.COMPL,NO, , ,                    , , ,0,0,16373.76,302K008,20042005,RP,62,15744,28/06/2004,NULL,0,0,0,0,0,0,0,0,0,0,A,20, , , ,NULL,0,0,18/06/2004,  
19201582,BUSH CI TOBE FIT IN REARSHAFT ROLLER,AS PER OUR SKETCH,FOR BOILER NB1-STOKER,ALL DETAIL'S AS PER OUR ENGRS INSTRUCTION'S,NO, , ,                    , , ,0,0,1500,302C076,20032004,RP,268,1500,11/03/2004,NULL,0,0,0,0,0,0,0,0,0,0,A,20, , , ,NULL,0,0,10/03/2004,  
19203062,PCB OF LIQUID L/CONTROLLER REPAIR,WITH FITTED REQUIRE NEW PART'S,ALL DETAIL'S AS PER OUR INST.ENGR'S,INSTRUCTION'S & AS PER YR.QUOT.,NO, , ,                    , , ,0,0,225,302(E)073,20032004,RP,175,225,08/11/2003,NULL,0,0,0,0,0,0,0,0,0,0,A,20, , , ,NULL,0,0,06/11/2003,  
