COSTCODE,SDESCR
0**,WET STARCH
1,MAIZE CLEANING
2,STEEP VATS
3,SULPHER BURNER
4,GRINDING
5,SIEVING
6,MERCONE
7,MERCO
8,WET STARCH GENERAL
9,SILO
99,UNALLOCATED WETSTARC
1**,STARCH
101,DRY STARCH
102,THIN BOILING
103,DEXTRINES
111,FABRILOSE
112,MAPROFARM
113,PENETROSE
114,SAYATEX
115,MAPROTON
116,WHITE DEXTRINE
117,YELLOW DEXTRINE
118,BRITISH GUM
119,GEL III DEXT
120,SAYABOND
121,SAYASTIC
122,MAIZOSPRAY
123,SAYAGELL
124,SAYA FIED
129,CHEMICAL STARCHES
2**,BYE PRODUCTS
201,OIL & OIL CAKE
202,GLUTEN FEED DRIER
203,GLUTEN FEED PRESS
204,STEEP LIQUOR
205,GOLDEN SYRUP (BP)
206,HYDROL (BP)
3**,BOILER & TURBINE
301,IJT BOILER- 30 TPH
302,DIESEL GENERATING SE
303,TURBINE SET
304,R.O.PLANT
305,D.M.PLANT
306,CVPL- BOILER- 40 TPH
307,NEW TURBINE 4MW
308,BIOGAS BASED POWER GENERATION PLANT
309,WASTE HEAT RECOVERY BOILER
310,IBL BOILER- 14.5 TPH
4**,FACTORY GENERAL
401,FACTORY GODOWN
402,FACTORY QUARTERS
403,FACTORY CENTRAL LABO
404,FACTORY WATER SUPPLY
405,FACTORY ENGINEERING
406,FACTORY GENERAL
407,E.T.P.
408,FLY ASH BRICKS
409,CONDENSATE RECOVERY
410,SAFETY
411,STORES & PURCHASE DEPT
412,SALES DEPT
413,ACCOUNTS DEPT
414,HR DEPT
415,EDP DEPT
491,SAYAJI INDUSTRIES
492,TAPIOCA PRODUCTS
499,UNALLOCATED FACTORY
5**,REFINARY
501,LIQUID GLUCOSE - REFINERY BUILDING
502,DEXTROSE MONOHYDRATE - REFINERY BUILDING
503,FRUCTOSE SYRUP
504,REFINARY GENERAL
505,REFINARY CHEMICALS
506,GLUCOSE - D
507,HIGH MALTOSE CORN SYRUP
508,MALTOSE DEXTRINE POWDER
509,DEXTROSE SYRUP - HMCS BUILDING
510,LIQUID GLUCOSE - HMCS BUILDING
598,GLUCOSE / DEXTROSE O
599,GLUCOSE / DEXTROSE W
6**,ANHYDROUS DEXTROSE
601,ANHYDROUS DEXTROSE
7**,ENZYME
701,ENZYME GENERAL
702,ENZYME CHEMICAL
8**,RESEARCH & DEVELOPME
801,R & D ENZYME
802,R & D OTHERS
9**,SORBITOL & MANNITOL
901,SORBITOL-SORBITOL
902,SORBITOL-HYDROGEN
903,MANNITOL
904,SORBITOL SUGAR
999,TAPIOCA PRODUCTS
